Attrition,Business,CF Age Band,CF Attrition Lable,Department,Education Field,Emp No,Employee Number,Gender,Job Role,Marital Status,Overtime,Over 18,Training Times,Traning Times Last Year,-2,0,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Education ,EmployeeCount,Environment Satisfaction,Hourly Rate,Job Involvement,job Level,Job  Satisfaction,Monthly income,Monthly Rate ,Num Companies Worked,Percent Sallary Hike ,Performance Rating Relationship Satisfactior,Standard Hours,Stock Optional Level,total work years,Work
No,Corporate,30-39,Attrited,IT,Arts,11,1011,Female,Clerk,Single,Yes,Y,10,1,-2,0,37,Yes,379,41,2,1,1,4,93,1,4,4,12665,15449,3,21,4,80,1,33,84
Yes,Corporate,40-49,Current,Sales,Arts,12,1012,Female,Analyst,Married,Yes,Y,5,0,-2,0,44,Yes,712,4,3,4,1,4,34,1,4,2,7224,2857,7,22,1,80,1,15,93
Yes,Corporate,40-49,Current,HR,Commerce,13,1013,Male,Clerk,Divorced,Yes,Y,6,3,-2,0,44,Yes,457,30,2,1,1,1,34,1,4,2,17384,5154,8,22,2,80,2,14,73
Yes,Corporate,50-59,Current,IT,Arts,14,1014,Male,Engineer,Divorced,Yes,Y,8,3,-2,0,57,Yes,990,19,4,5,1,1,47,4,5,3,5247,7878,8,5,2,80,3,6,80
No,Corporate,10-19,Attrited,IT,Medical,15,1015,Male,Executive,Married,Yes,Y,5,2,-2,0,19,Yes,460,34,2,2,1,4,63,3,3,1,5179,16678,2,7,2,80,3,10,1
Yes,Corporate,40-49,Current,HR,Commerce,16,1016,Male,Clerk,Single,No,Y,8,1,-2,0,49,Yes,203,10,5,1,1,2,76,1,4,2,17324,14739,7,8,1,80,0,39,75
No,Corporate,30-39,Attrited,IT,Science,17,1017,Male,Manager,Single,Yes,Y,2,7,-2,0,37,Yes,892,18,5,1,1,3,44,3,5,2,1775,4705,0,10,1,80,2,6,81
Yes,Corporate,20-29,Attrited,HR,Engineering,18,1018,Female,Clerk,Married,No,Y,5,2,-2,0,24,Yes,153,17,4,5,1,1,22,4,1,4,16243,8180,2,18,4,80,2,29,12
Yes,Corporate,20-29,Attrited,R&D,Commerce,19,1019,Male,Clerk,Married,No,Y,1,3,-2,0,26,Yes,409,49,4,5,1,3,43,4,3,2,8249,9998,5,21,2,80,0,1,71
Yes,Corporate,20-29,Current,Sales,Engineering,20,1020,Female,Analyst,Married,Yes,Y,9,3,-2,0,29,Yes,892,23,5,5,1,3,84,4,3,2,13903,1431,2,19,4,80,0,22,0
No,Corporate,30-39,Current,IT,Engineering,21,1021,Female,Clerk,Single,Yes,Y,9,4,-2,0,32,Yes,718,5,2,3,1,3,23,4,2,2,5327,15945,3,3,3,80,0,9,14
No,Corporate,30-39,Attrited,Sales,Engineering,22,1022,Male,Engineer,Single,No,Y,5,0,-2,0,36,Yes,163,4,5,1,1,3,81,1,4,4,10129,4472,2,2,1,80,3,3,3
Yes,Corporate,40-49,Attrited,Sales,Arts,23,1023,Female,Analyst,Single,Yes,Y,2,8,-2,0,41,Yes,331,28,2,5,1,1,58,3,4,4,8699,15166,10,12,1,80,1,25,53
No,Corporate,20-29,Attrited,HR,Commerce,24,1024,Female,Manager,Divorced,No,Y,8,8,-2,0,27,No,874,38,5,3,1,1,61,4,1,3,16089,1909,3,4,2,80,1,27,85
Yes,Corporate,50-59,Attrited,Finance,Commerce,25,1025,Male,Executive,Married,No,Y,10,4,-2,0,52,No,486,8,2,2,1,2,20,4,1,4,15185,7953,8,22,5,80,1,24,2
Yes,Corporate,20-29,Attrited,HR,Engineering,26,1026,Female,Analyst,Married,Yes,Y,5,7,-2,0,28,Yes,710,37,1,4,1,4,100,1,3,4,9560,1028,3,24,2,80,3,0,82
Yes,Corporate,30-39,Attrited,Finance,Science,27,1027,Female,Manager,Married,Yes,Y,1,8,-2,0,36,Yes,211,7,2,2,1,4,80,2,4,1,18343,14214,8,12,4,80,1,3,75
No,Corporate,30-39,Current,Sales,Science,28,1028,Female,Analyst,Single,Yes,Y,10,6,-2,0,38,Yes,892,6,5,5,1,4,22,3,3,2,14980,15135,9,12,2,80,2,14,68
Yes,Corporate,30-39,Attrited,IT,Arts,29,1029,Male,Engineer,Divorced,No,Y,10,0,-2,0,30,Yes,373,14,1,1,1,1,51,1,1,2,6447,2023,3,21,5,80,0,13,13
Yes,Corporate,30-39,Current,IT,Medical,30,1030,Female,Analyst,Married,No,Y,2,6,-2,0,39,No,252,31,3,1,1,2,63,3,5,4,5386,6547,5,18,1,80,1,28,18
Yes,Corporate,40-49,Current,IT,Medical,31,1031,Female,Manager,Married,No,Y,8,0,-2,0,40,Yes,317,33,1,4,1,2,56,2,5,4,4261,9598,2,18,2,80,0,9,84
No,Corporate,30-39,Attrited,Finance,Engineering,32,1032,Female,Manager,Divorced,No,Y,10,10,-2,0,34,Yes,673,24,4,2,1,1,64,3,1,2,19169,1530,0,9,3,80,3,23,54
Yes,Corporate,20-29,Current,IT,Arts,33,1033,Female,Executive,Married,Yes,Y,8,6,-2,0,22,No,195,25,2,5,1,3,78,4,4,4,3186,8682,0,24,5,80,0,15,65
No,Corporate,40-49,Attrited,R&D,Engineering,34,1034,Male,Manager,Married,No,Y,8,7,-2,0,41,No,116,4,1,5,1,2,39,3,5,1,4661,11229,4,1,4,80,3,15,25
No,Corporate,60-69,Current,R&D,Science,35,1035,Female,Manager,Divorced,No,Y,9,7,-2,0,60,No,449,14,4,5,1,3,68,3,5,4,15714,4506,4,25,3,80,3,21,67
No,Corporate,30-39,Current,Sales,Arts,36,1036,Male,Clerk,Divorced,Yes,Y,8,4,-2,0,37,Yes,273,23,2,4,1,2,76,4,3,3,8711,13903,5,7,5,80,3,29,79
Yes,Corporate,50-59,Attrited,R&D,Medical,37,1037,Male,Executive,Married,Yes,Y,10,7,-2,0,57,No,250,32,1,4,1,3,56,1,4,4,9783,16298,8,23,5,80,3,4,81
Yes,Corporate,10-19,Attrited,HR,Science,38,1038,Female,Executive,Single,No,Y,3,0,-2,0,18,Yes,432,20,4,4,1,3,94,3,2,1,6425,16561,1,8,2,80,3,2,24
No,Corporate,50-59,Current,R&D,Engineering,39,1039,Male,Manager,Single,Yes,Y,8,10,-2,0,56,Yes,621,21,5,1,1,4,57,1,3,1,15156,14163,1,5,1,80,3,5,58
No,Corporate,50-59,Current,R&D,Arts,40,1040,Male,Manager,Married,No,Y,7,8,-2,0,50,No,825,30,1,3,1,4,48,3,1,3,16390,3894,10,6,5,80,2,21,7
Yes,Corporate,30-39,Attrited,R&D,Arts,41,1041,Female,Manager,Single,Yes,Y,1,2,-2,0,38,Yes,549,33,4,2,1,1,22,1,1,2,6777,5741,8,5,1,80,1,4,92
No,Corporate,40-49,Attrited,HR,Engineering,42,1042,Female,Engineer,Divorced,Yes,Y,9,0,-2,0,41,No,973,34,2,3,1,3,43,4,4,3,4334,1443,3,8,1,80,3,33,10
No,Corporate,30-39,Current,R&D,Science,43,1043,Male,Clerk,Single,No,Y,6,10,-2,0,35,No,201,46,3,5,1,4,93,1,1,1,19029,8621,7,18,2,80,2,13,98
Yes,Corporate,40-49,Attrited,HR,Engineering,44,1044,Male,Engineer,Married,No,Y,1,10,-2,0,42,No,590,3,5,5,1,1,85,1,1,2,1011,2870,4,4,3,80,3,9,95
No,Corporate,30-39,Current,HR,Arts,45,1045,Male,Analyst,Married,No,Y,1,0,-2,0,31,Yes,664,18,5,4,1,4,77,1,5,1,15911,13722,0,9,2,80,3,22,6
No,Corporate,40-49,Attrited,HR,Engineering,46,1046,Male,Clerk,Divorced,No,Y,3,1,-2,0,46,No,437,49,2,3,1,3,71,1,3,3,5360,11032,3,19,1,80,0,19,14
No,Corporate,50-59,Current,HR,Arts,47,1047,Female,Analyst,Single,Yes,Y,9,8,-2,0,53,No,403,42,1,5,1,4,47,2,1,4,8893,18623,3,14,1,80,0,8,83
No,Corporate,30-39,Attrited,Sales,Science,48,1048,Male,Analyst,Married,Yes,Y,2,6,-2,0,34,Yes,214,27,2,5,1,4,89,4,1,1,9329,16809,9,17,1,80,1,29,53
Yes,Corporate,30-39,Current,R&D,Medical,49,1049,Male,Manager,Divorced,No,Y,6,3,-2,0,33,Yes,133,27,4,1,1,2,73,3,2,4,14086,19978,5,10,3,80,2,25,77
No,Corporate,10-19,Current,IT,Commerce,50,1050,Female,Clerk,Single,Yes,Y,6,1,-2,0,18,Yes,232,42,4,4,1,1,72,3,5,4,4695,6861,7,23,1,80,2,11,14
No,Corporate,50-59,Current,HR,Commerce,51,1051,Male,Engineer,Married,Yes,Y,7,8,-2,0,53,Yes,625,5,5,2,1,1,28,4,1,2,16821,17811,1,22,1,80,1,1,56
Yes,Corporate,40-49,Attrited,IT,Arts,52,1052,Male,Clerk,Single,Yes,Y,2,8,-2,0,44,No,911,30,2,5,1,2,91,4,5,3,3358,6363,0,3,5,80,1,20,35
No,Corporate,20-29,Attrited,Sales,Arts,53,1053,Male,Manager,Single,Yes,Y,1,6,-2,0,28,No,328,9,3,1,1,1,68,2,5,1,18644,8597,8,18,1,80,3,32,76
No,Corporate,30-39,Attrited,Sales,Commerce,54,1054,Female,Manager,Divorced,No,Y,7,2,-2,0,37,Yes,315,20,4,3,1,1,92,1,4,3,12383,7735,8,9,5,80,0,4,66
Yes,Corporate,20-29,Attrited,IT,Arts,55,1055,Female,Executive,Single,No,Y,7,3,-2,0,26,Yes,903,41,3,3,1,4,30,1,1,2,9702,2080,5,6,3,80,2,27,41
Yes,Corporate,30-39,Attrited,R&D,Medical,56,1056,Female,Engineer,Single,Yes,Y,6,2,-2,0,32,Yes,149,47,2,2,1,3,86,3,4,2,11453,15259,5,24,2,80,1,21,59
Yes,Corporate,20-29,Current,Sales,Engineering,57,1057,Male,Engineer,Single,No,Y,5,1,-2,0,21,No,964,5,2,2,1,3,42,2,1,1,17984,8124,5,9,1,80,0,38,80
Yes,Corporate,20-29,Current,IT,Engineering,58,1058,Female,Executive,Married,No,Y,3,4,-2,0,21,No,554,47,3,2,1,1,89,1,2,4,8807,15872,2,19,5,80,3,29,23
Yes,Corporate,20-29,Attrited,Finance,Science,59,1059,Female,Analyst,Married,Yes,Y,8,9,-2,0,29,Yes,355,50,5,4,1,4,30,1,1,2,3272,8713,4,4,1,80,3,30,32
Yes,Corporate,50-59,Current,IT,Medical,60,1060,Female,Engineer,Married,Yes,Y,8,7,-2,0,58,Yes,773,37,4,4,1,1,85,4,1,1,3181,18769,0,11,2,80,3,19,30
Yes,Corporate,40-49,Current,Sales,Commerce,61,1061,Female,Executive,Married,No,Y,3,5,-2,0,46,Yes,267,23,5,1,1,2,79,4,5,4,11849,7901,2,19,4,80,0,19,50
No,Corporate,20-29,Current,IT,Arts,62,1062,Male,Manager,Single,Yes,Y,10,10,-2,0,24,No,125,33,4,3,1,2,65,4,4,2,10826,5119,6,15,2,80,1,36,40
No,Corporate,30-39,Attrited,Sales,Science,63,1063,Female,Engineer,Single,No,Y,5,4,-2,0,33,No,579,6,3,3,1,3,90,4,5,3,13800,12535,10,13,4,80,2,19,73
No,Corporate,30-39,Attrited,R&D,Arts,64,1064,Male,Executive,Single,Yes,Y,4,8,-2,0,31,Yes,739,47,2,2,1,3,64,3,2,4,19260,9153,9,16,5,80,0,6,44
Yes,Corporate,40-49,Current,Sales,Commerce,65,1065,Female,Engineer,Divorced,No,Y,10,1,-2,0,48,Yes,472,19,5,2,1,1,82,3,1,2,7009,5225,3,6,4,80,0,10,27
Yes,Corporate,40-49,Current,IT,Engineering,66,1066,Male,Clerk,Married,Yes,Y,2,8,-2,0,49,No,515,17,4,1,1,4,57,4,3,1,10318,10922,3,22,5,80,0,24,77
No,Corporate,20-29,Attrited,Sales,Science,67,1067,Female,Manager,Divorced,No,Y,8,6,-2,0,24,Yes,592,30,2,2,1,4,29,1,4,4,11498,11225,5,20,1,80,0,5,90
Yes,Corporate,50-59,Attrited,Sales,Science,68,1068,Male,Manager,Single,No,Y,4,0,-2,0,56,No,134,39,3,3,1,3,73,4,5,1,3498,5777,6,19,5,80,1,3,46
No,Corporate,20-29,Current,Finance,Medical,69,1069,Male,Clerk,Married,Yes,Y,7,8,-2,0,21,Yes,430,5,4,4,1,3,91,4,4,1,7523,10544,4,19,1,80,2,9,97
No,Corporate,30-39,Attrited,IT,Medical,70,1070,Female,Manager,Divorced,No,Y,1,10,-2,0,30,Yes,415,2,4,3,1,4,30,3,1,3,17635,16135,5,0,4,80,1,9,17
No,Corporate,40-49,Current,Finance,Commerce,71,1071,Female,Executive,Married,Yes,Y,4,9,-2,0,49,No,487,37,2,5,1,3,95,3,2,3,14609,5032,1,12,4,80,1,18,24
No,Corporate,20-29,Attrited,Sales,Arts,72,1072,Male,Engineer,Divorced,Yes,Y,1,7,-2,0,23,No,293,31,5,1,1,2,48,1,4,4,5176,10851,5,8,2,80,1,9,96
No,Corporate,50-59,Attrited,Sales,Science,73,1073,Female,Analyst,Married,No,Y,10,10,-2,0,50,Yes,466,4,4,2,1,4,30,1,3,1,12990,14370,2,17,1,80,0,17,50
Yes,Corporate,50-59,Current,Sales,Arts,74,1074,Male,Analyst,Married,Yes,Y,2,2,-2,0,58,No,289,38,2,2,1,2,86,1,2,4,1335,7316,0,17,1,80,0,36,6
Yes,Corporate,20-29,Attrited,HR,Engineering,75,1075,Male,Engineer,Single,Yes,Y,2,4,-2,0,24,No,805,48,3,3,1,4,73,3,5,4,7220,7307,8,23,5,80,3,9,90
Yes,Corporate,20-29,Current,R&D,Science,76,1076,Female,Clerk,Married,Yes,Y,5,3,-2,0,23,Yes,102,21,1,1,1,2,31,1,1,3,18401,10405,2,5,2,80,0,23,77
No,Corporate,40-49,Current,HR,Medical,77,1077,Male,Executive,Single,No,Y,5,1,-2,0,48,Yes,472,22,2,5,1,2,84,4,1,3,18641,18154,4,21,1,80,0,8,74
No,Corporate,50-59,Current,Finance,Engineering,78,1078,Male,Manager,Married,Yes,Y,5,6,-2,0,53,No,779,18,3,5,1,1,29,1,2,1,14708,13519,10,16,3,80,1,33,47
Yes,Corporate,30-39,Current,Finance,Medical,79,1079,Male,Analyst,Divorced,Yes,Y,1,1,-2,0,34,Yes,621,13,2,2,1,1,99,1,5,1,16423,18997,5,4,3,80,2,14,70
No,Corporate,30-39,Current,IT,Science,80,1080,Male,Manager,Divorced,Yes,Y,8,3,-2,0,39,No,517,46,1,4,1,4,85,4,4,1,16319,6551,2,4,2,80,0,39,44
Yes,Corporate,40-49,Attrited,HR,Medical,81,1081,Female,Analyst,Single,Yes,Y,8,7,-2,0,46,No,643,49,5,5,1,4,57,4,3,3,6347,4824,2,9,5,80,3,11,82
No,Corporate,50-59,Attrited,IT,Medical,82,1082,Female,Clerk,Single,No,Y,9,6,-2,0,58,No,978,38,5,2,1,3,60,4,1,1,11218,5620,9,9,3,80,0,30,28
No,Corporate,40-49,Current,HR,Medical,83,1083,Male,Analyst,Married,Yes,Y,2,4,-2,0,44,No,144,10,4,2,1,1,88,3,4,1,2791,7796,0,14,5,80,3,19,95
No,Corporate,20-29,Attrited,Finance,Commerce,84,1084,Female,Engineer,Married,Yes,Y,6,4,-2,0,24,Yes,613,47,2,3,1,1,21,4,1,1,13769,18664,6,23,5,80,2,21,54
Yes,Corporate,50-59,Current,R&D,Science,85,1085,Male,Manager,Divorced,No,Y,3,6,-2,0,54,No,674,21,1,4,1,3,71,3,2,1,6797,3246,2,22,3,80,2,15,90
No,Corporate,50-59,Attrited,IT,Engineering,86,1086,Male,Executive,Divorced,Yes,Y,5,1,-2,0,59,Yes,311,8,1,2,1,4,37,1,1,3,4434,9064,4,19,4,80,1,15,28
Yes,Corporate,20-29,Attrited,Finance,Medical,87,1087,Male,Analyst,Single,No,Y,10,9,-2,0,23,No,310,26,2,3,1,2,78,4,3,3,5145,18853,9,5,4,80,0,13,0
Yes,Corporate,40-49,Attrited,R&D,Medical,88,1088,Female,Manager,Married,No,Y,9,5,-2,0,43,No,916,49,4,3,1,3,81,4,1,3,13240,12826,1,8,1,80,0,22,42
Yes,Corporate,50-59,Attrited,R&D,Science,89,1089,Female,Analyst,Single,Yes,Y,8,9,-2,0,56,No,780,47,1,5,1,4,52,3,1,2,6286,18351,5,11,4,80,2,24,61
No,Corporate,30-39,Current,Sales,Arts,90,1090,Male,Executive,Married,No,Y,7,0,-2,0,32,No,937,7,5,2,1,4,63,3,3,3,9162,6644,6,6,2,80,1,16,48
Yes,Corporate,50-59,Current,IT,Engineering,91,1091,Female,Engineer,Divorced,Yes,Y,9,3,-2,0,54,No,970,5,2,1,1,3,51,4,2,2,18033,7175,10,18,3,80,1,27,17
No,Corporate,50-59,Current,HR,Arts,92,1092,Male,Clerk,Single,No,Y,1,0,-2,0,59,No,905,21,1,2,1,1,77,1,4,2,17741,12920,0,14,2,80,1,35,12
Yes,Corporate,40-49,Attrited,R&D,Arts,93,1093,Male,Clerk,Single,Yes,Y,5,0,-2,0,44,No,117,41,2,4,1,2,87,4,5,3,11564,3426,5,23,5,80,2,5,49
No,Corporate,20-29,Current,Sales,Engineering,94,1094,Female,Clerk,Single,No,Y,9,4,-2,0,26,Yes,694,31,3,3,1,1,48,1,4,3,8997,8856,0,2,3,80,2,2,65
No,Corporate,50-59,Attrited,Finance,Science,95,1095,Male,Analyst,Single,No,Y,8,7,-2,0,53,No,847,40,5,1,1,3,67,2,2,1,5216,17565,2,2,2,80,0,13,16
No,Corporate,20-29,Attrited,Finance,Science,96,1096,Male,Analyst,Single,Yes,Y,1,6,-2,0,27,No,963,34,3,5,1,4,65,1,1,1,9440,18822,7,3,3,80,3,4,59
Yes,Corporate,60-69,Attrited,Finance,Science,97,1097,Female,Engineer,Married,No,Y,1,6,-2,0,60,Yes,880,37,3,3,1,4,34,1,3,2,18910,6848,1,13,4,80,0,4,36
Yes,Corporate,20-29,Attrited,Finance,Engineering,98,1098,Male,Analyst,Married,No,Y,10,6,-2,0,29,No,401,7,1,3,1,3,25,4,5,4,5494,12061,6,14,2,80,0,37,53
No,Corporate,50-59,Current,Finance,Arts,99,1099,Male,Analyst,Single,No,Y,7,2,-2,0,53,Yes,826,12,2,5,1,3,40,3,1,2,14897,14201,1,17,5,80,3,26,83
Yes,Corporate,30-39,Current,Sales,Science,100,1100,Female,Analyst,Married,Yes,Y,7,5,-2,0,32,Yes,719,42,2,3,1,4,74,4,4,2,3968,15201,1,11,5,80,1,37,41
Yes,Corporate,40-49,Attrited,HR,Engineering,101,1101,Male,Clerk,Divorced,Yes,Y,2,3,-2,0,45,Yes,145,33,2,2,1,1,55,2,1,3,4991,9297,5,3,2,80,2,26,60
Yes,Corporate,20-29,Current,Finance,Medical,102,1102,Female,Manager,Divorced,No,Y,2,7,-2,0,21,Yes,657,8,4,5,1,3,40,1,3,4,18446,5234,2,10,1,80,2,40,77
Yes,Corporate,30-39,Current,Sales,Science,103,1103,Male,Manager,Married,Yes,Y,8,2,-2,0,34,No,232,28,2,4,1,4,90,1,2,1,1265,15788,2,20,3,80,1,36,23
No,Corporate,50-59,Current,R&D,Science,104,1104,Female,Clerk,Single,No,Y,4,2,-2,0,55,Yes,102,17,2,2,1,3,55,4,1,4,5939,7622,9,19,3,80,1,11,75
No,Corporate,40-49,Current,IT,Arts,105,1105,Female,Clerk,Single,No,Y,1,4,-2,0,42,No,222,12,4,3,1,2,90,3,1,1,9973,5853,7,22,2,80,1,33,46
Yes,Corporate,20-29,Current,Sales,Commerce,106,1106,Male,Engineer,Married,Yes,Y,8,1,-2,0,26,Yes,739,22,1,4,1,1,32,1,5,3,11745,7254,9,23,3,80,1,40,72
No,Corporate,60-69,Attrited,IT,Commerce,107,1107,Female,Clerk,Single,Yes,Y,2,2,-2,0,60,Yes,582,27,5,3,1,2,63,1,2,3,17356,19516,0,19,3,80,2,16,30
Yes,Corporate,40-49,Attrited,HR,Science,108,1108,Male,Analyst,Single,Yes,Y,2,9,-2,0,45,Yes,534,8,2,2,1,3,93,3,5,3,14501,5799,6,14,2,80,1,26,63
Yes,Corporate,30-39,Attrited,R&D,Engineering,109,1109,Female,Clerk,Divorced,Yes,Y,9,0,-2,0,32,Yes,914,24,1,2,1,3,86,3,5,3,8366,9848,3,17,1,80,0,1,18
No,Corporate,50-59,Current,IT,Engineering,110,1110,Male,Analyst,Married,No,Y,7,4,-2,0,55,Yes,185,4,2,4,1,2,65,4,4,2,5184,4252,3,5,1,80,3,10,32
No,Corporate,20-29,Attrited,Sales,Arts,111,1111,Male,Executive,Divorced,Yes,Y,2,2,-2,0,21,Yes,446,36,2,2,1,3,26,2,2,3,11923,16374,6,21,3,80,1,9,30
No,Corporate,20-29,Current,Sales,Commerce,112,1112,Female,Analyst,Single,No,Y,3,5,-2,0,22,No,948,32,4,5,1,3,70,2,4,4,9967,15987,8,9,5,80,0,22,36
Yes,Corporate,30-39,Current,HR,Science,113,1113,Male,Manager,Single,Yes,Y,10,0,-2,0,35,No,536,15,1,1,1,2,54,4,1,2,8002,12022,9,13,4,80,0,9,63
Yes,Corporate,30-39,Attrited,HR,Engineering,114,1114,Female,Engineer,Single,Yes,Y,2,5,-2,0,37,No,992,42,1,2,1,1,62,2,1,1,8404,1302,9,4,2,80,3,24,0
Yes,Corporate,20-29,Attrited,Finance,Commerce,115,1115,Male,Clerk,Married,Yes,Y,8,5,-2,0,26,No,905,46,2,1,1,1,80,4,2,4,19133,10321,6,2,5,80,2,40,91
Yes,Corporate,30-39,Current,R&D,Medical,116,1116,Male,Manager,Married,Yes,Y,1,3,-2,0,36,No,254,28,1,4,1,3,65,4,3,3,19431,8788,9,5,5,80,3,38,63
No,Corporate,30-39,Current,Finance,Engineering,117,1117,Female,Engineer,Married,Yes,Y,10,4,-2,0,34,Yes,629,43,5,4,1,1,46,3,4,2,5383,15904,6,24,2,80,3,4,90
No,Corporate,40-49,Attrited,Finance,Commerce,118,1118,Male,Clerk,Single,Yes,Y,3,1,-2,0,43,No,287,44,1,4,1,4,28,3,4,4,3129,1350,7,19,2,80,3,6,55
No,Corporate,40-49,Attrited,Sales,Commerce,119,1119,Female,Clerk,Divorced,No,Y,1,4,-2,0,40,Yes,764,46,5,1,1,1,52,3,2,4,6702,1111,5,21,3,80,1,10,36
Yes,Corporate,40-49,Current,Sales,Engineering,120,1120,Male,Manager,Married,No,Y,10,1,-2,0,46,No,589,14,1,1,1,4,37,1,1,4,13245,5424,2,3,1,80,1,22,11
No,Corporate,40-49,Attrited,Sales,Engineering,121,1121,Female,Analyst,Divorced,No,Y,2,9,-2,0,49,No,656,13,1,4,1,3,23,4,2,4,14711,18245,1,17,1,80,3,40,94
No,Corporate,20-29,Attrited,HR,Commerce,122,1122,Male,Manager,Divorced,Yes,Y,10,7,-2,0,21,Yes,463,43,5,3,1,2,79,1,3,4,2684,12040,0,1,3,80,2,24,16
Yes,Corporate,30-39,Current,R&D,Science,123,1123,Female,Manager,Single,No,Y,1,3,-2,0,38,No,703,25,5,5,1,2,23,2,3,1,10068,16260,4,11,4,80,0,15,93
Yes,Corporate,20-29,Current,Finance,Arts,124,1124,Male,Engineer,Divorced,No,Y,9,1,-2,0,26,Yes,493,4,5,3,1,2,92,3,5,2,3308,13960,10,10,5,80,3,16,50
No,Corporate,20-29,Current,R&D,Commerce,125,1125,Female,Executive,Divorced,Yes,Y,9,7,-2,0,28,Yes,846,33,2,2,1,3,51,2,1,3,5708,9712,8,18,1,80,2,20,40
Yes,Corporate,30-39,Attrited,IT,Commerce,126,1126,Male,Manager,Single,No,Y,5,9,-2,0,36,Yes,848,39,2,5,1,3,92,2,4,4,11730,6789,1,6,4,80,1,19,65
Yes,Corporate,20-29,Attrited,R&D,Arts,127,1127,Female,Manager,Single,Yes,Y,7,1,-2,0,27,Yes,239,45,1,5,1,1,53,4,2,3,16893,1768,9,25,1,80,3,38,91
No,Corporate,40-49,Attrited,IT,Medical,128,1128,Male,Clerk,Divorced,Yes,Y,10,4,-2,0,43,Yes,705,48,2,1,1,1,62,2,4,1,13568,7571,9,22,5,80,0,4,66
No,Corporate,30-39,Current,Finance,Arts,129,1129,Male,Executive,Single,No,Y,6,8,-2,0,36,No,605,43,2,2,1,3,37,1,2,1,14530,7665,5,7,1,80,1,27,93
Yes,Corporate,50-59,Current,R&D,Science,130,1130,Female,Manager,Single,No,Y,8,8,-2,0,53,Yes,806,29,5,2,1,4,63,3,3,1,14234,19863,3,23,4,80,2,35,2
Yes,Corporate,50-59,Attrited,Finance,Medical,131,1131,Male,Engineer,Single,Yes,Y,1,10,-2,0,58,No,582,34,2,2,1,3,50,3,1,1,11224,16523,8,13,3,80,1,7,31
No,Corporate,30-39,Attrited,HR,Science,132,1132,Male,Executive,Single,No,Y,1,9,-2,0,30,No,910,13,2,4,1,1,68,3,4,2,12393,13428,3,20,5,80,2,28,69
Yes,Corporate,40-49,Current,IT,Science,133,1133,Female,Engineer,Single,Yes,Y,7,5,-2,0,43,Yes,814,8,5,1,1,1,24,4,3,4,7782,8499,2,10,2,80,1,4,27
No,Corporate,40-49,Attrited,Finance,Commerce,134,1134,Male,Manager,Married,Yes,Y,5,0,-2,0,42,Yes,742,20,4,3,1,2,39,4,2,1,4214,14656,4,3,3,80,2,31,11
